date_time,storage,inflow,withdr,outflow,withdr_req,rel_req,available
2019-12-04,2875.542901,1.2,0,8.741415537,0,8.741415537,2876.742901
2019-12-05,2868.001486,1.1,0,218.5118785,0,218.5118785,2869.101486
2019-12-06,2650.589607,1.1,0,176.5645964,0,176.5645964,2651.689607
2019-12-07,2475.125011,1.1,0,177.0862946,0,177.0862946,2476.225011
2019-12-08,2299.138716,3,0,155.6567016,0,155.6567016,2302.138716
2019-12-09,2146.482015,14,0,1.12,0,0,2160.482015
2019-12-10,2159.362015,4,0,1.12,0,0,2163.362015
2019-12-11,2162.242015,3,0,1.12,0,0,2165.242015
2019-12-12,2164.122015,3,0,1.12,0,0,2167.122015
2019-12-13,2166.002015,5,0,1.12,0,0,2171.002015
2019-12-14,2169.882015,4,0,1.12,0,0,2173.882015
2019-12-15,2172.762015,4,0,1.12,0,0,2176.762015
2019-12-16,2175.642015,3,0,1.12,0,0,2178.642015
2019-12-17,2177.522015,3,0,1.12,0,0,2180.522015
2019-12-18,2179.402015,3,0,28.59414075,0,28.59414075,2182.402015
2019-12-19,2153.807874,3,0,80.31548094,0,80.31548094,2156.807874
2019-12-20,2076.492393,3,0,79.02840919,0,79.02840919,2079.492393
2019-12-21,2000.463984,3,0,101.2200026,0,101.2200026,2003.463984
2019-12-22,1902.243981,3,0,110.6980108,0,110.6980108,1905.243981
2019-12-23,1794.54597,1.2,0,96.883541,0,96.883541,1795.74597
2019-12-24,1698.862429,3,0,110.453928,0,110.453928,1701.862429
2019-12-25,1591.408501,1.2,0,151.2613313,0,151.2613313,1592.608501
2019-12-26,1441.34717,1.2,0,123.1440572,0,123.1440572,1442.54717
2019-12-27,1319.403113,1.2,0,57.69874473,0,57.69874473,1320.603113
2019-12-28,1262.904368,4,0,16.35807431,0,16.35807431,1266.904368
2019-12-29,1250.546294,5,0,1.12,0,0,1255.546294
2019-12-30,1254.426294,4,0,1.12,0,0,1258.426294
2019-12-31,1257.306294,4,0,1.12,0,0,1261.306294
2020-01-01,1260.186294,4,0,64.15845419,0,64.15845419,1264.186294
2020-01-02,1200.02784,3,0,71.68036419,0,71.68036419,1203.02784
2020-01-03,1131.347475,26,0,1.12,0,0,1157.347475
2020-01-04,1156.227475,9,0,1.12,0,0,1165.227475
2020-01-05,1164.107475,5,0,1.12,0,0,1169.107475
2020-01-06,1167.987475,4,0,1.12,0,0,1171.987475
2020-01-07,1170.867475,4,0,1.12,0,0,1174.867475
2020-01-08,1173.747475,4,0,1.12,0,0,1177.747475
2020-01-09,1176.627475,28.2,0,1.12,0,0,1204.827475
2020-01-10,1203.707475,10,0,1.12,0,0,1213.707475
2020-01-11,1212.587475,5,0,1.12,0,0,1217.587475
2020-01-12,1216.467475,8,0,1.12,0,0,1224.467475
2020-01-13,1223.347475,16,0,1.12,0,0,1239.347475
2020-01-14,1238.227475,19,0,1.12,0,0,1257.227475
2020-01-15,1256.107475,15,0,1.12,0,0,1271.107475
2020-01-16,1269.987475,15,0,1.12,0,0,1284.987475
2020-01-17,1283.867475,21,0,1.12,0,0,1304.867475
2020-01-18,1303.747475,47.1,0,1.12,0,0,1350.847475
2020-01-19,1349.727475,21,0,1.12,0,0,1370.727475
2020-01-20,1369.607475,16,0,1.12,0,0,1385.607475
2020-01-21,1384.487475,15,0,1.12,0,0,1399.487475
2020-01-22,1398.367475,12,0,1.12,0,0,1410.367475
2020-01-23,1409.247475,18,0,1.12,0,0,1427.247475
2020-01-24,1426.127475,58,0,1.12,0,0,1484.127475
2020-01-25,1483.007475,21,0,1.12,0,0,1504.007475
2020-01-26,1502.887475,15,0,1.12,0,0,1517.887475
2020-01-27,1516.767475,12,0,1.12,0,0,1528.767475
2020-01-28,1527.647475,12,0,1.12,0,0,1539.647475
2020-01-29,1538.527475,10.7,0,1.12,0,0,1549.227475
2020-01-30,1548.107475,10,0,1.12,0,0,1558.107475
2020-01-31,1556.987475,10,0,1.12,0,0,1566.987475
2020-02-01,1565.867475,9,0,1.12,0,0,1574.867475
2020-02-02,1573.747475,22,0,1.12,0,0,1595.747475
2020-02-03,1594.627475,14,0,1.12,0,0,1608.627475
2020-02-04,1607.507475,10,0,1.12,0,0,1617.507475
2020-02-05,1616.387475,9,0,1.12,0,0,1625.387475
2020-02-06,1624.267475,8.8,0,1.12,0,0,1633.067475
2020-02-07,1631.947475,8.8,0,1.12,0,0,1640.747475
2020-02-08,1639.627475,8.8,0,1.12,0,0,1648.427475
2020-02-09,1647.307475,8,0,1.12,0,0,1655.307475
2020-02-10,1654.187475,8,0,1.12,0,0,1662.187475
2020-02-11,1661.067475,7.9,0,1.12,0,0,1668.967475
2020-02-12,1667.847475,7,0,1.12,0,0,1674.847475
2020-02-13,1673.727475,11,0,1.12,0,0,1684.727475
2020-02-14,1683.607475,7,0,1.12,0,0,1690.607475
2020-02-15,1689.487475,7,0,1.12,0,0,1696.487475
2020-02-16,1695.367475,7,0,1.12,0,0,1702.367475
2020-02-17,1701.247475,6,0,1.12,0,0,1707.247475
2020-02-18,1706.127475,25,0,1.12,0,0,1731.127475
2020-02-19,1730.007475,12,0,1.12,0,0,1742.007475
2020-02-20,1740.887475,10,0,1.12,0,0,1750.887475
2020-02-21,1749.767475,10,0,1.12,0,0,1759.767475
2020-02-22,1758.647475,8,0,1.12,0,0,1766.647475
2020-02-23,1765.527475,8,0,1.12,0,0,1773.527475
2020-02-24,1772.407475,7,0,1.12,0,0,1779.407475
2020-02-25,1778.287475,8,0,1.12,0,0,1786.287475
2020-02-26,1785.167475,8,0,1.12,0,0,1793.167475
2020-02-27,1792.047475,7,0,1.12,0,0,1799.047475
2020-02-28,1797.927475,18.4,0,1.12,0,0,1816.327475
2020-02-29,1815.207475,15,0,1.12,0,0,1830.207475
2020-03-01,1829.087475,10,0,1.12,0,0,1839.087475
2020-03-02,1837.967475,9,0,1.12,0,0,1846.967475
2020-03-03,1845.847475,22,0,1.12,0,0,1867.847475
2020-03-04,1866.727475,13,0,1.12,0,0,1879.727475
2020-03-05,1878.607475,11,0,1.12,0,0,1889.607475
2020-03-06,1888.487475,11,0,1.12,0,0,1899.487475
2020-03-07,1898.367475,10,0,1.12,0,0,1908.367475
2020-03-08,1907.247475,9,0,1.12,0,0,1916.247475
2020-03-09,1915.127475,12,0,1.12,0,0,1927.127475
2020-03-10,1926.007475,22,0,1.12,0,0,1948.007475
2020-03-11,1946.887475,22,0,1.12,0,0,1968.887475
2020-03-12,1967.767475,18,0,1.12,0,0,1985.767475
2020-03-13,1984.647475,27,0,1.12,0,0,2011.647475
2020-03-14,2010.527475,44,0,1.12,0,0,2054.527475
2020-03-15,2053.407475,23,0,1.12,0,0,2076.407475
